rt,trial_type,trial_index,time_elapsed,responses,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,mobile,flash,cookies,screen_size,block,sub_block
27014,instructions,0,27015,,,,,,,,,,,,,,,,,,
17038,survey-multi-choice,1,44054,"{""Q0"":""גבר"",""Q1"":""ימין"",""Q2"":""ערבית""}",,,,,,,,,,,,,,,,,
4239,survey-text,2,48294,"{""Q0"":""20""}",,,,,,,,,,,,,,,,,
7815,survey-multi-choice,3,56110,"{""Q0"":""לא""}",,,,,,,,,,,,,,,,,
11335,survey-likert,4,67447,"{""Q0"":2}",,,,,,,,,,,,,,,,,
55743,instructions,5,123190,,,,,,,,,,,,,,,,,,
null,image-cpt,6,125402,,null,FALSE,,training,,,,,,,,,,,,,
428,image-cpt,7,127620,,32,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,8,129350,,null,FALSE,,training,,,,,,,,,,,,,
545,image-cpt,9,131579,,32,TRUE,,training,,,,,,,,,,,,,
427,image-cpt,10,134302,,32,TRUE,,training,,,,,,,,,,,,,
392,image-cpt,11,136021,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,12,137736,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,13,140468,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,14,143685,,null,FALSE,,training,,,,,,,,,,,,,
369,image-cpt,15,146915,,32,TRUE,,training,,,,,,,,,,,,,
291,image-cpt,16,149641,,32,TRUE,,training,,,,,,,,,,,,,
477,image-cpt,17,151358,,32,FALSE,,training,,,,,,,,,,,,,
631,image-cpt,18,154565,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,19,157786,,null,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,20,159514,,null,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,21,161232,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,22,163465,,null,FALSE,,training,,,,,,,,,,,,,
364,image-cpt,23,166686,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,24,168903,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,25,171619,,null,FALSE,,training,,,,,,,,,,,,,
370,image-cpt,26,174834,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,27,178059,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,28,180782,,null,FALSE,,training,,,,,,,,,,,,,
51536,instructions,29,232318,,,,,,,,,,,,,,,,,,
null,image-cpt,30,234549,,null,FALSE,,,,,,,,,,,,,,,
482,image-cpt,31,236268,,32,TRUE,,,,,,,,,,,,,,,
null,image-cpt,32,238997,,null,FALSE,,,,,,,,,,,,,,,
null,image-cpt,33,242224,,null,FALSE,,,,,,,,,,,,,,,
