rt,trial_type,trial_index,time_elapsed,responses,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,mobile,flash,cookies,screen_size,block,sub_block
80479,instructions,0,80480,,,,,,,,,,,,,,,,,,
12851,survey-multi-choice,1,93336,"{""Q0"":""גבר"",""Q1"":""ימין"",""Q2"":""אחר""}",,,,,,,,,,,,,,,,,
5279,survey-text,2,98616,"{""Q0"":""23""}",,,,,,,,,,,,,,,,,
6301,survey-multi-choice,3,104920,"{""Q0"":""לא""}",,,,,,,,,,,,,,,,,
10143,survey-likert,4,115064,"{""Q0"":0}",,,,,,,,,,,,,,,,,
21711,instructions,5,136775,,,,,,,,,,,,,,,,,,
47935,survey-likert,6,184711,"{""Q0"":1,""Q1"":1,""Q2"":1}",,,,,,,,,,,,,,,,ASRS,
40598,survey-likert,7,225311,"{""Q0"":2,""Q1"":2,""Q2"":1}",,,,,,,,,,,,,,,,ASRS,
25279,survey-likert,8,250591,"{""Q0"":1,""Q1"":1,""Q2"":1}",,,,,,,,,,,,,,,,ASRS,
28119,survey-likert,9,278711,"{""Q0"":0,""Q1"":1,""Q2"":1}",,,,,,,,,,,,,,,,ASRS,
36414,survey-likert,10,315127,"{""Q0"":0,""Q1"":1,""Q2"":0}",,,,,,,,,,,,,,,,ASRS,
33198,survey-likert,11,348327,"{""Q0"":1,""Q1"":2,""Q2"":1}",,,,,,,,,,,,,,,,ASRS,
24047,instructions,12,372374,,,,,,,,,,,,,,,,,,
null,image-cpt,13,375089,,null,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,14,378299,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,15,381520,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,16,383738,,null,FALSE,,training,,,,,,,,,,,,,
420,image-cpt,17,386955,,32,,,training,,,,,,,,,,,,,
451,image-cpt,18,389665,,32,TRUE,,training,,,,,,,,,,,,,
428,image-cpt,19,391881,,32,TRUE,,training,,,,,,,,,,,,,
1044,image-cpt,20,393586,,32,TRUE,,training,,,,,,,,,,,,,
null,image-cpt,21,395308,,null,FALSE,,training,,,,,,,,,,,,,
null,image-cpt,22,397523,,null,FALSE,,training,,,,,,,,,,,,,
