rt,trial_type,trial_index,time_elapsed,responses,name,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,is_fullscreen,trial_began,os,browser,mobile,screen_size,block,sub_block
20326,instructions,0,20327,,,,,,,,,,,,,,,,
14366,survey-multi-choice,1,34695,"{""Q0"":""אישה"",""Q1"":""ימין"",""Q2"":""ערבית""}",,,,,,,,,,,,,,,
3527,survey-text,2,38223,"{""Q0"":""19""}",,,,,,,,,,,,,,,
6215,survey-multi-choice,3,44439,"{""Q0"":""לא""}",,,,,,,,,,,,,,,
15360,survey-likert,4,59799,"{""Q0"":0}",attention_2,,,,,,,,,,,,,,
27632,instructions,5,87431,,,,,,,,,,,,,,,,
null,image-cpt,6,89645,,,null,TRUE,,training,,,,,,,,,,
null,image-cpt,7,92860,,,null,TRUE,,training,,,,,,,,,,
null,image-cpt,8,95076,,,null,TRUE,,training,,,,,,,,,,
null,image-cpt,9,97295,,,null,TRUE,,training,,,,,,,,,,
null,image-cpt,10,100524,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,11,102242,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,12,105458,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,13,107669,,,null,TRUE,,training,,,,,,,,,,
null,image-cpt,14,109901,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,15,111610,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,16,114328,,,null,TRUE,,training,,,,,,,,,,
null,image-cpt,17,116044,,,null,TRUE,,training,,,,,,,,,,
null,image-cpt,18,118273,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,19,120509,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,20,122236,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,21,124956,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,22,128195,,,null,FALSE,,training,,,,,,,,,,
null,image-cpt,23,130925,,,null,TRUE,,training,,,,,,,,,,
null,image-cpt,24,134143,,,null,TRUE,,training,,,,,,,,,,
null,image-cpt,25,136858,,,null,TRUE,,training,,,,,,,,,,
null,image-cpt,26,139581,,,null,FALSE,,training,,,,,,,,,,
