rt,trial_type,trial_index,time_elapsed,responses,name,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,is_fullscreen,correct,trial_began,block,sub_block
29284.0,instructions,0,29284,,,,,,,,,,,,,
13574.0,survey-multi-choice,1,42860,"{""Q0"":""אישה"",""Q1"":""ימין"",""Q2"":""ערבית""}",,,,,,,,,,,,
8510.0,survey-text,2,51372,"{""Q0"":""20"",""Q1"":""12""}",,,,,,,,,,,,
4239.0,survey-multi-choice,3,55613,"{""Q0"":""לא""}",,,,,,,,,,,,
7751.0,survey-likert,4,63365,"{""Q0"":2}",attention_2,,,,,,,,,,,
15167.0,instructions,5,78532,,,,,,,,,,,,,
,image-cpt,6,81662,,,,False,,,,,,,,,
,image-cpt,7,83812,,,,False,,,,,,,,,
,image-cpt,8,86445,,,,False,,,,,,,,,
,image-cpt,9,89080,,,,False,,,,,,,,,
,image-cpt,10,92728,,,,False,,,,,,,,,
,image-cpt,11,95861,,,,False,,,,,,,,,
,image-cpt,12,99495,,,,False,,,,,,,,,
,image-cpt,13,100528,,,,False,,,,,,,,,
,image-cpt,14,102679,,,,True,,,,,,,,,
,image-cpt,15,106327,,,,True,,,,,,,,,
,image-cpt,16,109461,,,,False,,,,,,,,,
,image-cpt,17,112111,,,,False,,,,,,,,,
,image-cpt,18,114738,,,,True,,,,,,,,,
,image-cpt,19,118396,,,,False,,,,,,,,,
,image-cpt,20,121546,,,,True,,,,,,,,,
7955.0,instructions,21,129502,,,,,,,,,,,,,
,image-cpt,22,132645,,,,False,,,,,,,,,
,image-cpt,23,135779,,,,True,,,,,,,,,
,image-cpt,24,139413,,,,False,,,,,,,,,
,image-cpt,25,142062,,,,True,,,,,,,,,
,image-cpt,26,145196,,,,False,,,,,,,,,
,image-cpt,27,148829,,,,False,,,,,,,,,
,image-cpt,28,151978,,,,False,,,,,,,,,
,image-cpt,29,155612,,,,False,,,,,,,,,
,image-cpt,30,158760,,,,True,,,,,,,,,
,image-cpt,31,161395,,,,False,,,,,,,,,
,image-cpt,32,163544,,,,True,,,,,,,,,
,image-cpt,33,165694,,,,True,,,,,,,,,
,image-cpt,34,168344,,,,False,,,,,,,,,
,image-cpt,35,171495,,,,False,,,,,,,,,
,image-cpt,36,174628,,,,True,,,,,,,,,
,image-cpt,37,176763,,,,False,,,,,,,,,
,image-cpt,38,179910,,,,False,,,,,,,,,
,image-cpt,39,182060,,,,False,,,,,,,,,
,image-cpt,40,185204,,,,False,,,,,,,,,
,image-cpt,41,188343,,,,True,,,,,,,,,
,image-cpt,42,190993,,,,False,,,,,,,,,
,image-cpt,43,193143,,,,False,,,,,,,,,
,image-cpt,44,195293,,,,False,,,,,,,,,
,image-cpt,45,197427,,,,True,,,,,,,,,
,image-cpt,46,201061,,,,True,,,,,,,,,
,image-cpt,47,203709,,,,True,,,,,,,,,
,image-cpt,48,204743,,,,False,,,,,,,,,
,image-cpt,49,207393,,,,True,,,,,,,,,
,image-cpt,50,210026,,,,False,,,,,,,,,
,image-cpt,51,212175,,,,False,,,,,,,,,
,image-cpt,52,215310,,,,False,,,,,,,,,
,image-cpt,53,218443,,,,True,,,,,,,,,
,image-cpt,54,222076,,,,False,,,,,,,,,
,image-cpt,55,225225,,,,False,,,,,,,,,
,image-cpt,56,228860,,,,False,,,,,,,,,
,image-cpt,57,231008,,,,False,,,,,,,,,
,image-cpt,58,234643,,,,False,,,,,,,,,
,image-cpt,59,236793,,,,False,,,,,,,,,
,image-cpt,60,239443,,,,False,,,,,,,,,
,image-cpt,61,242594,,,,False,,,,,,,,,
,image-cpt,62,245243,,,,False,,,,,,,,,
,image-cpt,63,247395,,,,False,,,,,,,,,
,image-cpt,64,250528,,,,False,,,,,,,,,
,image-cpt,65,253676,,,,True,,,,,,,,,
,image-cpt,66,256311,,,,False,,,,,,,,,
,image-cpt,67,259459,,,,False,,,,,,,,,
,image-cpt,68,262609,,,,False,,,,,,,,,
,image-cpt,69,265743,,,,False,,,,,,,,,
,image-cpt,70,268392,,,,False,,,,,,,,,
,image-cpt,71,270510,,,,True,,,,,,,,,
,image-cpt,72,274143,,,,False,,,,,,,,,
,image-cpt,73,277792,,,,False,,,,,,,,,
,image-cpt,74,280441,,,,False,,,,,,,,,
,image-cpt,75,283091,,,,False,,,,,,,,,
,image-cpt,76,286726,,,,False,,,,,,,,,
,image-cpt,77,289875,,,,False,,,,,,,,,
,image-cpt,78,292509,,,,False,,,,,,,,,
,image-cpt,79,296137,,,,False,,,,,,,,,
,image-cpt,80,299286,,,,True,,,,,,,,,
,image-cpt,81,302920,,,,False,,,,,,,,,
,image-cpt,82,306553,,,,True,,,,,,,,,
,image-cpt,83,309187,,,,False,,,,,,,,,
,image-cpt,84,311322,,,,False,,,,,,,,,
,image-cpt,85,313953,,,,True,,,,,,,,,
,image-cpt,86,316604,,,,True,,,,,,,,,
,image-cpt,87,319737,,,,False,,,,,,,,,
,image-cpt,88,323369,,,,False,,,,,,,,,
,image-cpt,89,326519,,,,True,,,,,,,,,
,image-cpt,90,329668,,,,True,,,,,,,,,
,image-cpt,91,331818,,,,True,,,,,,,,,
,image-cpt,92,334468,,,,False,,,,,,,,,
,image-cpt,93,337118,,,,False,,,,,,,,,
,image-cpt,94,340267,,,,False,,,,,,,,,
,image-cpt,95,343918,,,,True,,,,,,,,,
,image-cpt,96,347567,,,,False,,,,,,,,,
,image-cpt,97,351217,,,,False,,,,,,,,,
,image-cpt,98,354352,,,,True,,,,,,,,,
,image-cpt,99,356509,,,,False,,,,,,,,,
,image-cpt,100,360158,,,,False,,,,,,,,,
,image-cpt,101,362309,,,,False,,,,,,,,,
,image-cpt,102,365442,,,,False,,,,,,,,,
,image-cpt,103,369076,,,,True,,,,,,,,,
,image-cpt,104,371725,,,,False,,,,,,,,,
,image-cpt,105,374858,,,,False,,,,,,,,,
,image-cpt,106,378492,,,,False,,,,,,,,,
,image-cpt,107,381626,,,,False,,,,,,,,,
,image-cpt,108,384275,,,,True,,,,,,,,,
,image-cpt,109,386424,,,,False,,,,,,,,,
,image-cpt,110,388574,,,,False,,,,,,,,,
,image-cpt,111,390723,,,,False,,,,,,,,,
,image-cpt,112,393858,,,,True,,,,,,,,,
,image-cpt,113,397490,,,,True,,,,,,,,,
,image-cpt,114,401124,,,,True,,,,,,,,,
,image-cpt,115,404773,,,,False,,,,,,,,,
,image-cpt,116,407423,,,,False,,,,,,,,,
,image-cpt,117,410058,,,,False,,,,,,,,,
,image-cpt,118,412206,,,,False,,,,,,,,,
,image-cpt,119,414356,,,,True,,,,,,,,,
